,Unnamed: 0.1,Unnamed: 0,address,state,city,lat,long,install_cnt,date,new_address
66719,259408,259408,충청남도 서천군 서면 마량리 132-6번지일원,충청남도,서천군,36.128724,126.505016,,2022-06-10,
67157,259846,259846,충청남도 금산군 복수면 곡남리 135-5,충청남도,금산군,36.1661913,127.3957872,,2022-06-13,
67268,259957,259957,충청남도 금산군 복수면 곡남리 579,충청남도,금산군,36.1629085,127.388438,,2022-06-13,
69013,261702,261702,충청남도 천안시 동남구 사직동 343-122,충청남도,천안시,36.799254,127.149666,,2022-03-01,
69014,261703,261703,충청남도 천안시 동남구 사직동 343-122,충청남도,천안시,36.799254,127.149666,,2022-03-01,
70162,262851,262851,충청남도 천안시 서북구 차암동 455,충청남도,천안시,36.842259,127.101003,,2022-03-01,
70163,262852,262852,충청남도 천안시 서북구 차암동 455,충청남도,천안시,36.842259,127.101003,,2022-03-01,
70222,262911,262911,충청남도 금산군 부리면 수통리 806,충청남도,금산군,36.0582568,127.588697,,2022-06-13,
71653,264342,264342,충청남도 천안시 동남구 수신면 속창리 236-16,충청남도,천안시,36.7291,127.27945,,2022-03-01,
71654,264343,264343,충청남도 천안시 동남구 수신면 속창리 236-16,충청남도,천안시,36.7291,127.27945,,2022-03-01,
73278,265967,265967,충청남도 천안시 서북구 입장면 유리 197-1,충청남도,천안시,36.919947,127.219613,,2022-03-01,
73405,266094,266094,충청남도 공주시 우성면 옥성리 467,충청남도,공주시,36.4543387,127.0658189,,2022-11-22,
73681,266370,266370,충남 당진시 우강면 창리 366-32,충남,당진시,36.807368,126.778583,,2022-07-26,
73844,266533,266533,충남 당진시 송악읍 한진리 95-17,충남,당진시,36.970395,126.782191,,2022-07-26,
73845,266534,266534,충남 당진시 송악읍 한진리 95-17,충남,당진시,36.970395,126.782191,,2022-07-26,
73877,266566,266566,충남 당진시 우강면 창리 366-32,충남,당진시,36.807368,126.778583,,2022-07-26,
73878,266567,266567,충남 당진시 우강면 창리 366-32,충남,당진시,36.807368,126.778583,,2022-07-26,
73921,266610,266610,충남 당진시 신평면 매산리 69-14,충남,당진시,36.925347,126.811843,,2022-07-26,
73958,266647,266647,충남 당진시 신평면 매산리 69-14,충남,당진시,36.925347,126.811843,,2022-07-26,
74022,266711,266711,충남 당진시 우강면 창리 366-32,충남,당진시,36.807368,126.778583,,2022-07-26,
74359,267048,267048,충남 당진시 송산면 동곡리 260-1,충남,당진시,36.967022,126.696833,,2022-07-26,
