state,city,visit_cnt,cctv_cnt,sclight_cnt,smalight_cnt,crime_rate,avg_pop_density,mean_hours,mean_days,new_state,visit_pop_mms,light_pop_mms,bell_pop_mms,crime_pop_mms,G_index
전라남도,고흥군,6272801,815.0,7134.5,55.0,0.0343,144.78,375.4,1.64,전라남도 고흥군,0.5236963424723203,1.0,0.5599547358597797,0.7299158044140864,0.7229409639750519
전라남도,완도군,4462985,334.0,6816.0,38.5,0.0343,144.78,368.2,1.8,전라남도 완도군,0.5236963424723203,1.0,0.5599547358597797,0.7299158044140864,0.7229409639750519
전라남도,신안군,5041641,448.0,8233.0,38.5,0.0343,144.78,343.6,1.8,전라남도 신안군,0.5236963424723203,1.0,0.5599547358597797,0.7299158044140864,0.7229409639750519
전라남도,여수시,22749986,995.0,20630.0,139.0,0.0343,144.78,338.8,1.58,전라남도 여수시,0.5236963424723203,1.0,0.5599547358597797,0.7299158044140864,0.7229409639750519
전라남도,진도군,3988482,968.0,7243.0,14.0,0.0343,144.78,320.4,1.74,전라남도 진도군,0.5236963424723203,1.0,0.5599547358597797,0.7299158044140864,0.7229409639750519
전라북도,부안군,8348346,307.0,8972.0,23.0,0.0324,224.08,333.0,1.58,전라북도 부안군,0.3460537905993438,0.6129607299225275,0.1738957342497983,0.4378871371220288,0.4408978067119311
전라북도,장수군,2188173,335.0,2597.0,23.0,0.0324,224.08,312.4,1.64,전라북도 장수군,0.3460537905993438,0.6129607299225275,0.1738957342497983,0.4378871371220288,0.4408978067119311
전라북도,군산시,14570140,2096.0,17676.0,69.0,0.0324,224.08,294.6,1.7,전라북도 군산시,0.3460537905993438,0.6129607299225275,0.1738957342497983,0.4378871371220288,0.4408978067119311
전라북도,익산시,11833840,904.0,18203.0,18.0,0.0324,224.08,285.6,1.76,전라북도 익산시,0.3460537905993438,0.6129607299225275,0.1738957342497983,0.4378871371220288,0.4408978067119311
전라북도,남원시,7050244,1.0,297.0,9.0,0.0324,224.08,285.4,1.64,전라북도 남원시,0.3460537905993438,0.6129607299225275,0.1738957342497983,0.4378871371220288,0.4408978067119311
제주특별자치도,제주시,51413358,932.0,26295.0,71.0,0.0189,357.7,362.2,1.88,제주특별자치도 제주시,0.45241594973775,0.2649186280524583,0.105429772691039,0.1482787873120333,0.1871118492003399
제주특별자치도,서귀포시,39656928,228.0,7247.0,71.0,0.0189,357.7,361.4,1.86,제주특별자치도 서귀포시,0.45241594973775,0.2649186280524583,0.105429772691039,0.1482787873120333,0.1871118492003399
충청남도,태안군,16666400,3651.0,1740.0,37.0,0.0368,264.24,398.6,1.42,충청남도 태안군,0.4519116665175615,0.6174659575267701,0.9374045232816692,0.4214840558611793,0.4515051299800371
충청남도,보령시,14844914,756.0,11057.0,37.0,0.0368,264.24,333.0,1.6,충청남도 보령시,0.4519116665175615,0.6174659575267701,0.9374045232816692,0.4214840558611793,0.4515051299800371
충청남도,청양군,3481715,375.0,6735.0,62.0,0.0368,264.24,295.8,1.54,충청남도 청양군,0.4519116665175615,0.6174659575267701,0.9374045232816692,0.4214840558611793,0.4515051299800371
충청남도,서산시,10572464,1080.0,13080.0,728.0,0.0368,264.24,278.0,1.7,충청남도 서산시,0.4519116665175615,0.6174659575267701,0.9374045232816692,0.4214840558611793,0.4515051299800371
충청남도,아산시,21636895,3125.0,24098.0,1.0,0.0368,264.24,271.6,1.74,충청남도 아산시,0.4519116665175615,0.6174659575267701,0.9374045232816692,0.4214840558611793,0.4515051299800371
충청북도,제천시,12125010,979.0,9024.0,314.0,0.0299,219.2,324.8,1.6,충청북도 제천시,0.3414021754561128,0.4378490915770839,1.0,0.4121121447871869,0.3237118092755629
충청북도,보은군,4737641,316.0,6349.0,99.0,0.0299,219.2,298.2,1.54,충청북도 보은군,0.3414021754561128,0.4378490915770839,1.0,0.4121121447871869,0.3237118092755629
충청북도,충주시,14797862,1578.0,10600.0,219.0,0.0299,219.2,296.8,1.64,충청북도 충주시,0.3414021754561128,0.4378490915770839,1.0,0.4121121447871869,0.3237118092755629
충청북도,영동군,4133509,1.0,6076.0,112.0,0.0299,219.2,296.4,1.64,충청북도 영동군,0.3414021754561128,0.4378490915770839,1.0,0.4121121447871869,0.3237118092755629
충청북도,단양군,6679972,287.0,1499.0,21.0,0.0299,219.2,283.2,1.48,충청북도 단양군,0.3414021754561128,0.4378490915770839,1.0,0.4121121447871869,0.3237118092755629
